id,title,author,src
video016,Dr. Lovallo Performing a robotic simple prostatectomy,New Jersey Center Prostate Cancer & Urology,http://dg1fmc8qbela5.cloudfront.net/video016.mp4
video017,Dr. Lutfi Tunc Blader Neck Preservation Aproach Nerve Sparing RALP da Vinci SI System,Prof. Dr. Lütfi Tunç,http://dg1fmc8qbela5.cloudfront.net/video017.mp4
video018,Dr. Lutfi Tunc Blader Neck Preservation Aproach Non-Nerve Sparing RALP da Vinci XI System,Prof. Dr. Lütfi Tunç,http://dg1fmc8qbela5.cloudfront.net/video018.mp4
video019,Dr. Patel- Robotic-assisted Radical Prostatectomy- Nerve Sparing technique.,Robotic Surgery Academy,http://dg1fmc8qbela5.cloudfront.net/video019.mp4
video020,Dr. Rafael Coelho-Prostatectomia Radical Robotica - Ircad América latina,Dr. Rafael Coelho - Urologia,http://dg1fmc8qbela5.cloudfront.net/video020.mp4
video021,ExPeritoneal Radical Prostatectomy Laparoscopic with Audio Commentary,Dr Aditya K Sharma,http://dg1fmc8qbela5.cloudfront.net/video021.mp4
video022,Extraperitoneal Endoscopic Radical Prostatectomy (EERPE). Full case. Dr. Theodoros Tokas,Modern Diagnostic and Therapeutic Urology,http://dg1fmc8qbela5.cloudfront.net/video022.mp4
video023,Full Length Robotic Prostatectomy,Dr Rad,http://dg1fmc8qbela5.cloudfront.net/video023.mp4
video024,Full Length Robotic Radical Prostatectomy - Lateral Approach - Dr. Richard Gaston,Dr. Fernando Gómez Sancha,http://dg1fmc8qbela5.cloudfront.net/video024.mp4
video025,Full Robotic prostate cancer removal with Expert Surgeon Naveen Kella,Naveen Kella,http://dg1fmc8qbela5.cloudfront.net/video025.mp4
video026,"Full-length, unedited, narrated Robotic Prostatectomy performed live by Dr. Ronney Abaza in 2018",Robotic Urologic Surgery with Dr. Ronney Abaza,http://dg1fmc8qbela5.cloudfront.net/video026.mp4
video027,Ignacio Moncada - Robitic Simple Prostatectomy,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video027.mp4
video028,ircad 2021 - Live Surgery - Robotic Prostatectomy - Dr Rafael Coelho,Dr. Rafael Coelho - Urologia,http://dg1fmc8qbela5.cloudfront.net/video028.mp4
video029,ircad rio - Dr Rafael Coelho - Prostatectomia Robotica/Robotic Prostatectomy,Dr. Rafael Coelho - Urologia,http://dg1fmc8qbela5.cloudfront.net/video029.mp4
video030,Jens Uwe Stolzenburg - Robotic radical Prostatectomy,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video030.mp4
video031,laparoscopic extraperitoneal radical prostatectomy in a patient with previous hormone treatment,ΝΙΚΟΛΑΟΣ ΦΕΡΑΚΗΣ,http://dg1fmc8qbela5.cloudfront.net/video031.mp4
video032,Laparoscopic Prostatectomy,laparoscoendourology,http://dg1fmc8qbela5.cloudfront.net/video032.mp4
video033,LAPAROSCOPIC PROSTATECTOMY GOUMAS,Ioannis Kartalas Goumas,http://dg1fmc8qbela5.cloudfront.net/video033.mp4
video034,Laparoscopic Radical Prostatectomy,"dr. Ahmad Zulfan Hendri, Sp.U (K)",http://dg1fmc8qbela5.cloudfront.net/video034.mp4
video035,Laparoscopic Radical Prostatectomy - Ca.prostate in presence of chronic prostatitis| Surgical Videos,Asian Institute of Nephrology & Urology,http://dg1fmc8qbela5.cloudfront.net/video035.mp4
video036,"Laparoscopic Radical Prostatectomy - Extraperitoneal approach, nerve sparing",Endourology Patras,http://dg1fmc8qbela5.cloudfront.net/video036.mp4
video037,"Laparoscopic radical prostatectomy - full, 1x speed",Uro surgery,http://dg1fmc8qbela5.cloudfront.net/video037.mp4
video038,Laparoscopic radical prostatectomy of a 150 ml prostate with a median lobe,Ioannis Kartalas Goumas,http://dg1fmc8qbela5.cloudfront.net/video038.mp4
video039,Laparoscopic Radical Prostatectomy Surgery,Dr. Jaydeep Date,http://dg1fmc8qbela5.cloudfront.net/video039.mp4
video040,Laparoscopic Radical prostatectomy urethrovesical anastomosis,Preeti Hospital-Best Urology Hospital in Hyderabad,http://dg1fmc8qbela5.cloudfront.net/video040.mp4
video041,Laparoscopic Radical Prostatectomy Urethrovesical Anastomosis Unedited video,Preeti Hospital-Best Urology Hospital in Hyderabad,http://dg1fmc8qbela5.cloudfront.net/video041.mp4
video042,LAPAROSCOPIC RADICAL PROSTATECTOMY WITH BILATERAL PELVIC LYMPHADENECTOMY,Preeti Hospital-Best Urology Hospital in Hyderabad,http://dg1fmc8qbela5.cloudfront.net/video042.mp4
video043,Laparoscopic Radical Prostatectomy with Nerve Sparing,Dr Aditya K Sharma,http://dg1fmc8qbela5.cloudfront.net/video043.mp4
video044,Live daVinci Robotic Prostate Removal 2 - Capitol Urology,Thomas Edmunds,http://dg1fmc8qbela5.cloudfront.net/video044.mp4
video045,Live daVinci Robotic Prostatectomy Capitol Urology Columbia SC,Thomas Edmunds,http://dg1fmc8qbela5.cloudfront.net/video045.mp4
video046,"Live OR: Robot-Assisted Laparoscopic Prostatectomy with Dr. Richstone, Dr. Mikhail and Dr. Rai",BRAINterns Webinar Series,http://dg1fmc8qbela5.cloudfront.net/video046.mp4
video047,Live robotic da Vinci radical prostatectomy during EAU congress - Barcelona,urologiemondor,http://dg1fmc8qbela5.cloudfront.net/video047.mp4
video048,Live Robotic Prostatectomy WRSE Nov 16 DECLAN MURPHY,Declan Murphy,http://dg1fmc8qbela5.cloudfront.net/video048.mp4
video049,Live Robotic Prostatectomy | WRSE Jan 19,Declan Murphy,http://dg1fmc8qbela5.cloudfront.net/video049.mp4
video050,LIVE SURGERY: Prostatectomy w/ Extended Pelvic Lymph Node Dissection,Seattle Science Foundation,http://dg1fmc8qbela5.cloudfront.net/video050.mp4
video051,Manuel Rubial - Laparoscopic Nerve Sparing Radical Prostatectomy,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video051.mp4
video052,Markus Graefen - Robotic Radical Prostatectomy + LDN for T3 cancer,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video052.mp4
